internal_accession	sample_name	gb_accession	date_added	seq_accession
OQ026330	S1_OQ026330_180027462102_C1R6_MET_FRA_05_06_2018	OQ026330	2024-10-18	OQ026330
OQ026329	S1_OQ026329_180027461802_C1R6_MET_FRA_06_06_2018	OQ026329	2024-10-18	OQ026329
OQ026328	S1_OQ026328_180023322702_C1R6_MET_FRA_23_03_2018	OQ026328	2024-10-18	OQ026328
OQ026327	S1_OQ026327_180023322602_C1R6_MET_FRA_14_05_2018	OQ026327	2024-10-18	OQ026327
LR027546	S1_LR027546.1_3163020011_C1R5_AMI_FRA_20_10_2016	LR027546	2024-10-18	LR027546
OQ091594	S1_OQ091594_3162860301_C1R5_CLF_FRA_04_10_2016	OQ091594	2024-10-18	OQ091594
OQ091630	S1_OQ091630_316286052_C2_COC_FRA_28_09_2016	OQ091630	2024-10-18	OQ091630
OQ091640	S1_OQ091640_316287005_C2_BRE_FRA_11_10_2016	OQ091640	2024-10-18	OQ091640
OQ091641	S1_OQ091641_316299004_C2_BRE_FRA_11_10_2016	OQ091641	2024-10-18	OQ091641
OQ091633	S1_OQ091633_316300020_C2_CRA_FRA_24_10_2016	OQ091633	2024-10-18	OQ091633
OQ091636	S1_OQ091636_316301003_C2_COC_FRA_07_10_2016	OQ091636	2024-10-18	OQ091636
LR027531	S1_LR027531.1_316302002_C1R5_AMI_FRA_18_10_2016	LR027531	2024-10-18	LR027531
OQ091627	S1_OQ091627_316302008_C2_AMI_FRA_20_10_2016	OQ091627	2024-10-18	OQ091627
OQ091631	S1_OQ091631_316307009_C2_TOU_FRA_28_07_2016	OQ091631	2024-10-18	OQ091631
OQ091632	S1_OQ091632_316307018_C2_TOU_FRA_13_08_2016	OQ091632	2024-10-18	OQ091632
LR027522	S1_LR027522.1_316307017_C1R5_TOU_FRA_10_08_2016	LR027522	2024-10-18	LR027522
LR027521	S1_LR027521.1_316307016_C1R5_TOU_FRA_10_08_2016	LR027521	2024-10-18	LR027521
LR027527	S1_LR027527.1_316148153_C1R5_TOU_FRA_03_05_2016	LR027527	2024-10-18	LR027527
LR027532	S1_LR027532.1_316307036_C1R5_TOU_FRA_11_10_2016	LR027532	2024-10-18	LR027532
LR027529	S1_LR027529.1_316180009_C1R5_BAY_FRA_24_06_2016	LR027529	2024-10-18	LR027529
LR027524	S1_LR027524.1_316250102_C1R5_MIR_FRA_30_08_2016	LR027524	2024-10-18	LR027524
LR027538	S1_LR027538.1_316286036_C1R5_VSV_FRA_04_10_2016	LR027538	2024-10-18	LR027538
LR027537	S1_LR027537.1_316286034_C1R5_VSV_FRA_04_10_2016	LR027537	2024-10-18	LR027537
LR027536	S1_LR027536.1_316286032_C1R5_VSV_FRA_04_10_2016	LR027536	2024-10-18	LR027536
LR027534	S1_LR027534.1_316263109_C1R5_TOU_FRA_14_09_2016	LR027534	2024-10-18	LR027534
LR027525	S1_LR027525.1_316259064_C1R5_COC_FRA_05_09_2016	LR027525	2024-10-18	LR027525
LR027539	S1_LR027539.1_17501259_C1R5_MTS_FRA_03_07_2017	LR027539	2024-10-18	LR027539
LR027533	S1_LR027533.1_316286037_C1R4_PAR_FRA_27_09_2016	LR027533	2024-10-18	LR027533
LR027528	S1_LR027528.1_316238077_C1R5_COC_FRA_11_08_2016	LR027528	2024-10-18	LR027528
OQ091629	S1_OQ091629_316194129_C2_AMI_FRA_30_06_2016	OQ091629	2024-10-18	OQ091629
OQ091639	S1_OQ091639_316190108_C2_BRE_FRA_05_07_2016	OQ091639	2024-10-18	OQ091639
OQ091638	S1_OQ091638_316190107_C2_POI_FRA_05_07_2016	OQ091638	2024-10-18	OQ091638
OQ091643	S1_OQ091643_316190103_C2_SEB_FRA_05_07_2016	OQ091643	2024-10-18	OQ091643
OQ091637	S1_OQ091637_316174142_C2_COC_FRA_10_06_2016	OQ091637	2024-10-18	OQ091637
OQ091635	S1_OQ091635_316323006_C2_VER_FRA_02_11_2016	OQ091635	2024-10-18	OQ091635
OQ091642	S1_OQ091642_316310001_C2_BRE_FRA_25_10_2016	OQ091642	2024-10-18	OQ091642
PP548276	S1_PP548276_3170520261_C1R5_TOU_FRA_14_12_2017	PP548276	2024-10-18	PP548276
PP548277	S1_PP548277_190033383501_C1R6_PAR_FRA_10_07_2019_	PP548277	2024-10-18	PP548277
PP548278	S1_PP548278_3171840071_C1R5_TOU_FRA_22_03_2017	PP548278	2024-10-18	PP548278
PP548279	S1_PP548279_3161620631_C2_CLF_FRA_07_06_2016_	PP548279	2024-10-18	PP548279
PP548280	S1_PP548280_180052732702_C1R5_CLA_FRA_31_10_2018	PP548280	2024-10-18	PP548280
LR027523	S1_LR027523.1_3162501011_C1R5_MIR_FRA_30_08_2016	LR027523	2024-10-18	LR027523
LR027526	S1_LR027526.1_3163070231_C1R5_TOU_FRA_07_09_2016	LR027526	2024-10-18	LR027526
PQ284300	S1_PQ284300_18002908081_C1R2_PAR_FRA_30_05_2018	PQ284300	2024-10-18	PQ284300
MK111402	S33_MK111402_795_C1An_LIM_CYP_02_09_2016	MK111402	2024-10-18	MK111402
MK111405	S33_MK111405_916_C1R5_LIM_CYP_16_10_2017	MK111405	2024-10-18	MK111405
PQ284501	S27_PQ284501_292_C1R5_LIB_CZE_22_07_2019	PQ284501	2024-10-18	PQ284501
PQ284502	S27_PQ284502_401_C1R9_OLO_CZE_23_08_2018	PQ284502	2024-10-18	PQ284502
PQ284503	S27_PQ284503_402_C1R9_OLO_CZE_23_08_2018	PQ284503	2024-10-18	PQ284503
PQ284504	S27_PQ284504_656_C1An_PLZ_CZE_04_10_2016	PQ284504	2024-10-18	PQ284504
PQ284430	S23_PQ284430_HUVH25863_C2_BAR_ESP_28_5_2016	PQ284430	2024-10-18	PQ284430
PQ284431	S23_PQ284431_HUVH75020_C1R5_BAR_ESP_25_9_2016	PQ284431	2024-10-18	PQ284431
PQ284432	S23_PQ284432_HUVH42668_C1R5_BAR_ESP_28_6_2016	PQ284432	2024-10-18	PQ284432
PQ284433	S23_PQ284433_HUVH19873_C1R5_BAR_ESP_18_5_2016	PQ284433	2024-10-18	PQ284433
PQ284434	S23_PQ284434_HUVH16244_C1R5_BAR_ESP_11_5_2016	PQ284434	2024-10-18	PQ284434
PQ284435	S23_PQ284435_HUVH24479_C1R5_BAR_ESP_25_5_2016	PQ284435	2024-10-18	PQ284435
PQ284436	S23_PQ284436_HUVH24826_C1R5_BAR_ESP_26_5_2016	PQ284436	2024-10-18	PQ284436
PQ284437	S23_PQ284437_HUVH27800_C1R5_BAR_ESP_31_5_2016	PQ284437	2024-10-18	PQ284437
PQ284438	S23_PQ284438_HUVH19320_C1R5_BAR_ESP_18_5_2016	PQ284438	2024-10-18	PQ284438
PQ284439	S23_PQ284439_HUVH33719_C1R5_BAR_ESP_10_6_2016	PQ284439	2024-10-18	PQ284439
PQ284440	S23_PQ284440_HUVH20311_C1R5_BAR_ESP_18_5_2016	PQ284440	2024-10-18	PQ284440
PQ284441	S23_PQ284441_HUVH21667_C1R5_BAR_ESP_20_5_2016	PQ284441	2024-10-18	PQ284441
PQ284442	S23_PQ284442_HUVH24346_C1R5_BAR_ESP_26_5_2016	PQ284442	2024-10-18	PQ284442
PQ284443	S23_PQ284443_HUVH20361_C1R5_BAR_ESP_18_5_2016	PQ284443	2024-10-18	PQ284443
PQ284444	S23_PQ284444_HUVH16864_C1R5_BAR_ESP_12_5_2016	PQ284444	2024-10-18	PQ284444
PQ284445	S23_PQ284445_HUVH18902_C1R5_BAR_ESP_13_5_2016	PQ284445	2024-10-18	PQ284445
PQ284446	S23_PQ284446_HUVH16005_C1R5_BAR_ESP_10_5_2016	PQ284446	2024-10-18	PQ284446
PQ284447	S23_PQ284447_HUVH27854_C1R5_BAR_ESP_1_6_2016	PQ284447	2024-10-18	PQ284447
PQ284448	S23_PQ284448_HUVH16309_C1R5_BAR_ESP_11_5_2016	PQ284448	2024-10-18	PQ284448
PQ284449	S23_PQ284449_HUVH25514_C1R5_BAR_ESP_13_4_2018	PQ284449	2024-10-18	PQ284449
PQ284450	S23_PQ284450_HUVH80884_C1R5_BAR_ESP_1_11_2019	PQ284450	2024-10-18	PQ284450
PQ284429	S23_PQ284429_HUVH91612_C1R6_BAR_ESP_25_2_2019	PQ284429	2024-10-18	PQ284429
PQ284497	S36_PQ284497_2109059655_C1R5_RIG_LVA_17_9_2021	PQ284497	2024-10-18	PQ284497
PQ284498	S36_PQ284498_2108079811_C1R5_RIG_LVA_10_9_2021	PQ284498	2024-10-18	PQ284498
PQ284499	S36_PQ284499_2108039176_C1R5_RIG_LVA_13_8_2021	PQ284499	2024-10-18	PQ284499
PQ284500	S36_PQ284500_2107083641_C1R5_RIG_LVA_29_7_2021	PQ284500	2024-10-18	PQ284500
PQ284496	S36_PQ284496_2107047291_C1R5_RIG_LVA_16_7_2021	PQ284496	2024-10-18	PQ284496
PQ284454	S14_PQ284454_3101800648_C1R5_RIJ_NLD_5_11_2018	PQ284454	2024-10-18	PQ284454
PQ284455	S14_PQ284455_3101800675_C1R5_RIJ_NLD_16_11_2018	PQ284455	2024-10-18	PQ284455
PQ284453	S14_PQ284453_3101900663_C1R5_RIJ_NLD_22_10_2019	PQ284453	2024-10-18	PQ284453
PQ284456	S14_PQ284456_3101900712_C1R5_RIJ_NLD_12_11_2019	PQ284456	2024-10-18	PQ284456
PQ284457	S14_PQ284457_3102000132_C1R5_RIJ_NLD_30_3_2020	PQ284457	2024-10-18	PQ284457
PQ284458	S14_PQ284458_3101900756_C1R5_RIJ_NLD_29_11_2019	PQ284458	2024-10-18	PQ284458
PQ284483	S38_PQ284483_36572018_C1R5_BIA_PLG_16_5_2018	PQ284483	2024-10-18	PQ284483
PQ284484	S38_PQ284484_61502019_C1R5_BIA_PLG_3_7_2019	PQ284484	2024-10-18	PQ284484
PQ284485	S38_PQ284485_54912019_C1R6_BIA_PLG_12_6_2019	PQ284485	2024-10-18	PQ284485
PQ284486	S38_PQ284486_74092017_C2_BIA_PLG_2_11_2017	PQ284486	2024-10-18	PQ284486
PQ284487	S38_PQ284487_42802018_C2_BIA_PLG_11_6_2018	PQ284487	2024-10-18	PQ284487
PQ284490	S22_PQ284490_2414_C1R5_LJU_SVN_16_05_2019	PQ284490	2024-10-18	PQ284490
PQ284489	S22_PQ284489_2035_C1R6_LJU_SVN_20_05_2019	PQ284489	2024-10-18	PQ284489
MG367599	S3_MG367599_DK1605_C1R5_COP_DNK_02_06_2016	MG367599	2024-10-18	MG367599
MG367598	S3_MG367598_DK1604_C1R5_COP_DNK_23_05_2016	MG367598	2024-10-18	MG367598
MG367596	S3_MG367596_DK1602_C1R5_COP_DNK_29_02_2016	MG367596	2024-10-18	MG367596
MG367600	S3_MG367600.1_DK1606_C1R1_COP_DNK_18_06_2016	MG367600	2024-10-18	MG367600
X000001	DK2302619	X000001	2024-10-18	X000001
X000002	DK2406157	X000002	2024-10-18	X000002
